period,confidence_floor,scope,entity,total_funding,award_years,distinct_projects,r01_funding,r01_award_years,m_award_years,funded_investigators,rule,validation_kappa,validation_precision_pct,validation_sensitivity_pct
FY2025,corroborated,Department of Surgery,IPF6959701,4098767.0,9,8,2085041.0,3,0,6,majority,0.916,100.0,91.9
FY2025,corroborated,Department of Surgery,IPF1520001,1240262.0,2,2,1240262.0,2,0,2,majority,0.916,100.0,91.9
FY2025,corroborated,Department of Surgery,IPF1518602,4202090.0,8,8,3779180.0,6,0,7,majority,0.916,100.0,91.9
FY2025,corroborated,Department of Surgery,IPF4155008,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2025,corroborated,Department of Surgery,IPF3617301,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2025,corroborated,Department of Surgery,IPF1525701,2369746.0,5,5,1586865.0,3,0,3,majority,0.916,100.0,91.9
FY2025,corroborated,Department of Surgery,MEEI,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2025,corroborated,Department of Surgery,MGB_CORE,54705655.0,65,60,19173629.0,33,0,46,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,Department of Surgery,MGH,65354123.0,90,52,24902369.0,47,0,37,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,Department of Surgery,BWH,39222034.0,43,23,13370770.0,23,0,17,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,Department of Surgery,IPF10040927,17802326.0,33,18,12991478.0,19,0,14,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,Department of Surgery,IPF10068583,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,Department of Surgery,IPF861001,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,Department of Surgery,IPF4976101,6734239.0,10,6,4912711.0,8,0,5,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,Department of Surgery,IPF1504801,32008908.0,57,34,27211185.0,41,0,18,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,Department of Surgery,IPF5079202,44976210.0,25,15,7670804.0,12,0,13,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,Department of Surgery,IPF615001,2623291.0,5,3,2623291.0,5,0,3,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,Department of Surgery,DFCI,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,Department of Surgery,IPF1499101,16302616.0,11,6,2742245.0,4,0,3,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,Department of Surgery,BIDMC,11658826.0,20,12,9166485.0,13,0,9,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,Department of Surgery,IPF1225501,1548555.0,2,2,1548555.0,2,0,2,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,Department of Surgery,IPF7893501,5540387.0,10,6,4002105.0,6,0,3,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,Department of Surgery,IPF1531401,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,Department of Surgery,IPF3058203,6885093.0,9,5,6885093.0,9,0,5,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,Department of Surgery,IPF1495302,7853473.0,17,9,6480259.0,14,0,4,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,Department of Surgery,IPF4976105,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,Department of Surgery,IPF3736101,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,Department of Surgery,IPF10005742,15862798.0,27,15,14150700.0,23,0,8,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,Department of Surgery,IPF6959701,7154532.0,20,10,2887034.0,4,0,7,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,Department of Surgery,IPF1520001,2930329.0,6,4,2538267.0,4,0,4,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,Department of Surgery,IPF1518602,8279897.0,17,11,7783820.0,13,0,9,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,Department of Surgery,IPF4155008,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,Department of Surgery,IPF3617301,197968.0,2,1,0.0,0,0,1,majority,0.916,100.0,91.9
FY2024_FY2025,corroborated,Department of Surgery,IPF1525701,5829038.0,13,8,4439633.0,8,0,6,majority,0.916,100.0,91.9
