period,rank,canonical_org_id,canonical_name,display_name,total_funding,award_years,distinct_projects,r01_funding,r01_award_years,m_award_years,funded_investigators,evidence_basis,confidence_floor,funding_per_investigator,r01_funding_per_investigator,funding_per_project,mean_award_size,r01_share_of_funding,meets_intensity_floor,rank_award_years,rank_r01_funding,rank_r01_award_years
FY2021_FY2025,54,IPF1274603,EAST TENNESSEE STATE UNIVERSITY,East Tennessee State,9442121.0,23,11,8201871.0,17,0,6,NIH ORG_DEPT (contact PI),n/a,1573687.0,1366978.0,858375.0,410527.0,86.9,True,54,48,49
FY2021_FY2025,55,IPF4689203,LOYOLA UNIVERSITY CHICAGO,Loyola University Chicago,9343980.0,34,17,5879071.0,13,0,13,NIH ORG_DEPT (contact PI),n/a,718768.0,452236.0,549646.0,274823.0,62.9,True,43,54,52
FY2021_FY2025,56,IPF1524003,UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,OU Health Sciences Center,8424703.0,17,7,6552505.0,11,0,5,NIH ORG_DEPT (contact PI),n/a,1684941.0,1310501.0,1203529.0,495571.0,77.8,True,58,52,54
FY2021_FY2025,57,IPF8738101,UNIVERSITY OF VERMONT & ST AGRIC COLLEGE,University of Vermont,7406669.0,20,8,5362549.0,10,0,9,NIH ORG_DEPT (contact PI),n/a,822963.0,595839.0,925834.0,370333.0,72.4,True,56,55,57
FY2021_FY2025,58,IPF3972901,UNIVERSITY OF IOWA,University of Iowa,6640966.0,9,4,2452366.0,4,0,6,NIH ORG_DEPT (contact PI),n/a,1106828.0,408728.0,1660242.0,737885.0,36.9,True,68,66,66
FY2021_FY2025,59,IPF894901,BOSTON UNIVERSITY MEDICAL CAMPUS,BU Medical Campus,5952794.0,21,9,2630087.0,10,0,10,NIH ORG_DEPT (contact PI),n/a,595279.0,263009.0,661422.0,283466.0,44.2,True,55,64,57
FY2021_FY2025,60,HARVARD_ENTITIES,Harvard University entities,Harvard University entities,5568374.0,14,5,4653474.0,9,0,5,NIH ORG_DEPT (contact PI),n/a,1113675.0,930695.0,1113675.0,397741.0,83.6,True,62,58,59
FY2021_FY2025,61,HMS,Harvard Medical School,Harvard Medical School,5568374.0,14,5,4653474.0,9,0,5,NIH ORG_DEPT (contact PI),n/a,1113675.0,930695.0,1113675.0,397741.0,83.6,True,62,58,59
FY2021_FY2025,62,IPF1506603,UNIVERSITY OF CONNECTICUT SCH OF MED/DNT,UConn Health,5316939.0,15,8,4058156.0,8,0,12,NIH ORG_DEPT (contact PI),n/a,443078.0,338180.0,664617.0,354463.0,76.3,True,61,61,61
FY2021_FY2025,63,IPF577703,UNIVERSITY OF ILLINOIS AT CHICAGO,Illinois Chicago,5119998.0,16,9,4564585.0,11,0,7,NIH ORG_DEPT (contact PI),n/a,731428.0,652084.0,568889.0,320000.0,89.2,True,60,60,54
